phone_code,country_code
93,af
355,al
213,dz
1684,as
376,ad
244,ao
1264,ai
672,aq
1268,ag
54,ar
374,am
297,aw
61,au
43,at
994,az
1242,bs
973,bh
880,bd
1246,bb
375,by
32,be
501,bz
229,bj
1441,bm
975,bt
591,bo
387,ba
267,bw
55,br
246,io
1284,vg
673,bn
359,bg
226,bf
95,mm
257,bi
855,kh
237,cm
1,ca
238,cv
1345,ky
236,cf
235,td
56,cl
86,cn
61,cx
61,cc
57,co
269,km
242,cg
243,cd
682,ck
506,cr
385,hr
53,cu
599,cw
357,cy
420,cz
45,dk
253,dj
1767,dm
1809,do
1829,do
1849,do
670,tl
593,ec
20,eg
503,sv
240,gq
291,er
372,ee
251,et
500,fk
298,fo
679,fj
358,fi
33,fr
689,pf
241,ga
220,gm
995,ge
49,de
233,gh
350,gi
30,gr
299,gl
1473,gd
1671,gu
502,gt
441481,gg
224,gn
245,gw
592,gy
509,ht
504,hn
852,hk
36,hu
354,is
91,in
62,id
98,ir
964,iq
353,ie
441624,im
972,il
39,it
225,ci
1876,jm
81,jp
441534,je
962,jo
7,kz
254,ke
686,ki
383,xk
965,kw
996,kg
856,la
371,lv
961,lb
266,ls
231,lr
218,ly
423,li
370,lt
352,lu
853,mo
389,mk
261,mg
265,mw
60,my
960,mv
223,ml
356,mt
692,mh
222,mr
230,mu
262,yt
52,mx
691,fm
373,md
377,mc
976,mn
382,me
1664,ms
212,ma
258,mz
264,na
674,nr
977,np
31,nl
599,an
687,nc
64,nz
505,ni
227,ne
234,ng
683,nu
1670,mp
850,kp
47,no
968,om
92,pk
680,pw
970,ps
507,pa
675,pg
595,py
51,pe
63,ph
64,pn
48,pl
351,pt
1787,pr
1939,pr
974,qa
262,re
40,ro
7,ru
250,rw
590,bl
685,ws
378,sm
239,st
966,sa
221,sn
381,rs
248,sc
232,sl
65,sg
1721,sx
421,sk
386,si
677,sb
252,so
27,za
82,kr
211,ss
34,es
94,lk
290,sh
1869,kn
1758,lc
590,mf
508,pm
1784,vc
249,sd
597,sr
47,sj
268,sz
46,se
41,ch
963,sy
886,tw
992,tj
255,tz
66,th
228,tg
690,tk
676,to
1868,tt
216,tn
90,tr
993,tm
1649,tc
688,tv
971,ae
256,ug
44,gb
380,ua
598,uy
1,us
998,uz
678,vu
379,va
58,ve
84,vn
1340,vi
681,wf
212,eh
967,ye
260,zm
263,zw